year,state_fips,state_abbr,state_name,county_fips,county_name,n1,n2,a00100,a00200,a00300,a00600
1989,08,CO,Colorado,043,Fremont,11541.0,25063.0,232260.0,164280.0,24670.0,4171.0
1989,08,CO,Colorado,045,Garfield,12710.0,27373.0,325960.0,237730.0,24920.0,6818.0
1989,08,CO,Colorado,047,Gilpin,1030.0,1984.0,26530.0,22290.0,1705.0,562.0
1989,08,CO,Colorado,049,Grand,3794.0,7514.0,89290.0,64300.0,7792.0,2038.0
1989,08,CO,Colorado,051,Gunnison,4207.0,8067.0,84760.0,57210.0,8083.0,2033.0
1989,08,CO,Colorado,053,Hinsdale,205.0,396.0,3970.0,1990.0,818.0,234.0
1989,08,CO,Colorado,055,Huerfano,2048.0,4438.0,32330.0,21070.0,4716.0,963.0
1989,08,CO,Colorado,057,Jackson,656.0,1516.0,13370.0,9220.0,1567.0,408.0
1989,08,CO,Colorado,059,Jefferson,199070.0,413510.0,6451460.0,5235380.0,360111.0,116152.0
1989,08,CO,Colorado,061,Kiowa,729.0,1692.0,17200.0,7880.0,2180.0,193.0
1989,08,CO,Colorado,063,Kit Carson,3202.0,7277.0,71120.0,36170.0,9881.0,1142.0
1989,08,CO,Colorado,065,Lake,2602.0,5528.0,53490.0,43410.0,3492.0,874.0
1989,08,CO,Colorado,067,La Plata,13066.0,27121.0,296070.0,205870.0,29192.0,8583.0
1989,08,CO,Colorado,069,Larimer,78248.0,164239.0,2118470.0,1650110.0,144997.0,47753.0
1989,08,CO,Colorado,071,Las Animas,4848.0,10707.0,87430.0,63070.0,10298.0,1290.0
1989,08,CO,Colorado,073,Lincoln,1946.0,4192.0,34640.0,21710.0,5110.0,794.0
1989,08,CO,Colorado,075,Logan,7346.0,16284.0,159940.0,106240.0,16900.0,2793.0
1989,08,CO,Colorado,077,Mesa,36965.0,80127.0,867900.0,635640.0,76027.0,18963.0
1989,08,CO,Colorado,079,Mineral,259.0,496.0,5130.0,3260.0,903.0,274.0
1989,08,CO,Colorado,081,Moffat,4407.0,10797.0,114650.0,97710.0,6121.0,1046.0
1989,08,CO,Colorado,083,Montezuma,6949.0,16270.0,140740.0,104540.0,13177.0,2659.0
1989,08,CO,Colorado,085,Montrose,9903.0,22122.0,203960.0,145280.0,21136.0,4012.0
1989,08,CO,Colorado,087,Morgan,8952.0,21386.0,177930.0,128920.0,19479.0,3387.0
1989,08,CO,Colorado,089,Otero,7560.0,17370.0,148460.0,106860.0,14296.0,2622.0
1989,08,CO,Colorado,091,Ouray,951.0,1983.0,20760.0,10800.0,3084.0,1053.0
1989,08,CO,Colorado,093,Park,2912.0,6602.0,80930.0,64080.0,4769.0,1096.0
1989,08,CO,Colorado,095,Phillips,1893.0,4193.0,44450.0,19600.0,6977.0,771.0
1989,08,CO,Colorado,097,Pitkin,6672.0,10487.0,291780.0,139050.0,39327.0,15963.0
1989,08,CO,Colorado,099,Prowers,5095.0,12110.0,101380.0,70140.0,9903.0,1280.0
1989,08,CO,Colorado,101,Pueblo,48818.0,103464.0,1067600.0,780960.0,86696.0,17856.0
1989,08,CO,Colorado,103,Rio Blanco,2288.0,5492.0,58590.0,46860.0,3917.0,824.0
1989,08,CO,Colorado,105,Rio Grande,4175.0,9865.0,90030.0,56920.0,8164.0,1661.0
1989,08,CO,Colorado,107,Routt,6398.0,12464.0,175770.0,124710.0,13885.0,4749.0
1989,08,CO,Colorado,109,Saguache,1588.0,3911.0,27840.0,18970.0,2199.0,492.0
1989,08,CO,Colorado,111,San Juan,343.0,779.0,7200.0,6250.0,320.0,52.0
1989,08,CO,Colorado,113,San Miguel,1735.0,3165.0,41750.0,25610.0,3739.0,1527.0
1989,08,CO,Colorado,115,Sedgwick,1202.0,2586.0,23080.0,13010.0,3813.0,395.0
1989,08,CO,Colorado,117,Summit,7232.0,12020.0,177300.0,138870.0,9704.0,4325.0
1989,08,CO,Colorado,119,Teller,5182.0,11685.0,143960.0,108190.0,7858.0,2799.0
1989,08,CO,Colorado,121,Washington,1961.0,4297.0,39010.0,19640.0,6135.0,550.0
1989,08,CO,Colorado,123,Weld,50772.0,115495.0,1197200.0,942830.0,81466.0,22232.0
1989,08,CO,Colorado,125,Yuma,3757.0,8530.0,75360.0,40130.0,10534.0,1129.0
1989,09,CT,Connecticut,000,CONNECTICUT,1583526.0,3027755.0,59385710.0,45583080.0,4594956.0,1681763.0
1989,09,CT,Connecticut,001,Fairfield,405491.0,769944.0,19778660.0,14378260.0,1687758.0,722170.0
1989,09,CT,Connecticut,003,Hartford,420054.0,789156.0,14744220.0,11543050.0,1105826.0,378178.0
1989,09,CT,Connecticut,005,Litchfield,84746.0,166584.0,2985560.0,2223830.0,246387.0,97186.0
1989,09,CT,Connecticut,007,Middlesex,71623.0,136643.0,2488180.0,1978740.0,175521.0,55091.0
1989,09,CT,Connecticut,009,New Haven,379951.0,720985.0,12374840.0,9795710.0,934989.0,296414.0
1989,09,CT,Connecticut,011,New London,118122.0,234644.0,3687290.0,2932800.0,253529.0,86075.0
1989,09,CT,Connecticut,013,Tolland,57974.0,116676.0,2027820.0,1683990.0,112013.0,27864.0
1989,09,CT,Connecticut,015,Windham,45565.0,93123.0,1299130.0,1046710.0,78932.0,18785.0
1989,10,DE,Delaware,000,DELAWARE,308166.0,623419.0,9567700.0,7361430.0,601369.0,324278.0
1989,10,DE,Delaware,001,Kent,48600.0,103078.0,1225860.0,965720.0,63157.0,17910.0
1989,10,DE,Delaware,003,New Castle,205299.0,410324.0,7017850.0,5473710.0,428886.0,274476.0
1989,10,DE,Delaware,005,Sussex,54267.0,110017.0,1323990.0,922000.0,109327.0,31892.0
1989,11,,,000,DistrictofColumbia,293327.0,503128.0,9235490.0,6555630.0,664566.0,295876.0
1989,11,,,001,DistrictofColumbia,293327.0,503128.0,9235490.0,6555630.0,664566.0,295876.0
1989,12,FL,Florida,000,FLORIDA,5613049.0,11184297.0,157771720.0,103930100.0,19422541.0,6460183.0
1989,12,FL,Florida,001,Alachua,73017.0,144060.0,1873370.0,1442370.0,137042.0,44184.0
1989,12,FL,Florida,003,Baker,6188.0,15235.0,143080.0,123000.0,6426.0,576.0
1989,12,FL,Florida,005,Bay,53097.0,112486.0,1236740.0,918250.0,89553.0,20884.0
1989,12,FL,Florida,007,Bradford,7607.0,17394.0,164480.0,131630.0,9316.0,1315.0
